award_id,recipient,awarding_agency,sub_agency,start_year,obligated_amount,total_award_value,award_description,project_class,fabrication_inclusive,scope_confidence,grant_program,source_url,notes
IGSM-258341-OMS-25,Hispanic Society Museum and Library,Institute of Museum and Library Services,Office of Museum Services,2025,74637,,"Inspire! Grants for Small Museums (New York, NY)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-258341-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
IGSM-258473-OMS-25,Mobile Medical Museum,Institute of Museum and Library Services,Office of Museum Services,2025,13080,,"Inspire! Grants for Small Museums (Mobile, AL)",other,unknown,low,Inspire! Grants for Small Museums,https://www.imls.gov/grants/awarded-grants?fulltext_search=IGSM-258473-OMS-25,matched via: prog_Inspire__Grants_for_Small_Museums
MA-01-04-0066-04,Museum of the Big Bend,Institute of Museum and Library Services,Office of Museum Services,2004,50000,,"Museums for America (Alpine, TX)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-04-0066-04,matched via: mfa_exhibit_fab
MA-01-04-0132-04,Evanston  Historical Society,Institute of Museum and Library Services,Office of Museum Services,2004,85900,,"Museums for America (Evanston, IL)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-04-0132-04,matched via: mfa_exhibit_fab
MA-01-04-0194-04,"University of South Carolina, Research Foundation",Institute of Museum and Library Services,Office of Museum Services,2004,84695,,"Museums for America (Columbia, SC)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-04-0194-04,matched via: mfa_exhibit_fab
MA-01-04-0254-04,Smokey Hill Historical Museum,Institute of Museum and Library Services,Office of Museum Services,2004,150000,,"Museums for America (Salina, KS)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-04-0254-04,matched via: mfa_exhibit_fab
MA-01-04-0368-04,Germantown Historical Society,Institute of Museum and Library Services,Office of Museum Services,2004,39795,,"Museums for America (Philadelphia, PA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-04-0368-04,matched via: mfa_exhibit_fab
MA-01-04-0723-04,Kidscommons...Columbus' (IN) Community Children's Museum,Institute of Museum and Library Services,Office of Museum Services,2004,93302,,"Museums for America (Columbus, IN)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-04-0723-04,matched via: mfa_exhibit_fab
MA-01-05-0003-05,California Indian Museum and Cultural Center,Institute of Museum and Library Services,Office of Museum Services,2005,140341,,"Museums for America (Santa Rosa, CA)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-05-0003-05,matched via: mfa_exhibit_fab
MA-01-05-0010-05,Desert Botanical Garden,Institute of Museum and Library Services,Office of Museum Services,2005,150000,,"Museums for America (Phoenix, AZ)",multi_station,y,med,Museums for America,https://www.imls.gov/grants/awarded-grants?fulltext_search=MA-01-05-0010-05,matched via: mfa_exhibit_fab
